symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,mapping_quote_current,first_percent,name,pe_ttm,dual_counter_mapping_symbol,total_shares,limitup_days
SH603306,7.127213151161205,0.0,10.453,11,3.82,False,0.01,8.28,329494313,77.96,7.22,74.0566,23.73,25687376641,1770912000000.0,25687376641,0.122,100,7.209793159218006,1113.2,-0.05,16.133889520074685,1111096719,2.87,1411660800000,0.77,,14299967,1.08,8.28,45371,4.34,,44.04,华懋科技,101.214,,329494313,0
SH603828,-47.335228919994975,,2.072,11,3.69,False,0.01,6.234,595939625,6.74,4.0,53.3985,-19.57,4016633073,,4016771465,,100,-15.360333027729201,26.69,0.75,-6.415967888846518,30639847,0.24,1424880000000,-0.18,,4607300,0.93,6.234,9718,0.77,,44.01,ST柯利达,,,595960158,0
SH603284,-4.4554812178594805,,1.6364,11,3.5,False,0.01,2.852,18473403,55.06,10.43,16.9589,45.35,1017145569,,4152338888,,100,,-12.76,0.11,-3.9070192328836573,464896407,1.86,1770652800000,1.83,-17769525.4,8460340,0.84,,750,45.8,,55.57,C林平,30.071,,75414800,0
SH603738,-42.23591565531129,0.0,7.3222,11,3.49,False,0.01,3.828,385887492,17.48,5.27,54.6127,11.27,6745313360,1770912000000.0,6745313360,0.463,100,2.16304866164563,348.75,0.17,1.3585123104896235,484934562,0.59,1474992000000,0.1,,27779082,1.9,3.862,37203,7.2,,43.99,泰晶科技,176.649,,385887492,0
SH600730,-33.69676733308107,0.0,52.4645,11,3.46,False,0.01,3.428,586656002,10.47,4.94,,-4.3,6142288341,1770912000000.0,6142288341,0.096,100,0.47238269703203056,290.56,0.19,-7.222275620951935,224121341,0.35,838310400000,0.01,,21342200,1.51,3.428,34832,3.64,,216.25,中国高科,726.238,,586656002,0
SH601595,,0.0,17.0774,11,3.44,False,0.01,8.417,448200000,32.51,9.74,107.9868,13.55,14570982000,1770912000000.0,14570982000,0.443,100,7.105309690433276,238.55,-0.52,27.530596743952195,1237957910,1.08,1471363200000,0.27,86623633.0,38280803,1.1,8.416,43716,8.54,,43.96,上海电影,119.374,,448200000,0
SH603922,,,5.8182,11,3.42,False,0.01,3.91,179200000,22.68,5.7,66.5281,9.25,4064256000,,4064256000,,100,1.9221901676960056,54.61,0.18,7.3500778032769,179954331,0.75,1508688000000,0.11,,7986120,1.21,3.91,6818,4.46,,44.01,金鸿顺,205.873,,179200000,0
SH600391,-6.805698454163389,0.0,3.9314,11,3.42,False,0.01,9.668,330129367,51.41,7.64,13.2607,38.57,16971950757,1770912000000.0,16971950757,,100,2.633560500655238,461.74,-0.02,6.065260446512588,1397970258,1.7,1008086400000,0.14,,27309177,1.04,9.668,252770,8.27,,259.57,航发科技,379.06,,330129367,0
SH600673,-4.396720784630437,0.0,7.9605,11,3.34,False,0.01,11.684,3001557927,37.8,6.78,163.243,68.52,113458889641,1770912000000.0,113761181230,,100,10.286041567756035,3713.94,0.61,8.813790737188887,4643225437,1.22,748195200000,0.32,,124910651,1.46,11.684,76419,4.16,,238.16,东阳光,117.518,,3009555059,0
SH600966,-14.377784224845103,0.0,0.5798,11,3.19,False,0.01,1.525,1336844288,8.42,6.37,3.9743,23.28,11256228905,1770912000000.0,11256228905,0.333,100,2.093213701823256,397.61,0.0,2.1732446091234037,262694257,0.26,1086624000000,0.11,,31165121,1.32,1.525,36661,2.33,,24.73,博汇纸业,75.998,,1336844288,0
